id,comment,cleanText,typoNormalized,translated,negationHandled,noStopword,tokens,stemmed,wordCount,finalText,sentiment,confidence,labelMethod
33,Mayoritas negara2 bekas koloni Perancis cakep2 ya infrastrukturnyağŸ˜… Vietnam aja meski hanya bagian Selatan (Ho Chi Min City) yg pernah sebentar jadi koloni Perancis tapi infrastruktur di Ho Chi Min City kalo kalian pernah ke sana lumayan cakep2 secara arsitektural...,mayoritas negara bekas koloni perancis cakep ya infrastrukturnya vietnam aja meski hanya bagian selatan ho chi min city yg pernah sebentar jadi koloni perancis tapi infrastruktur di ho chi min city kalo kalian pernah ke sana lumayan cakep secara arsitektural,mayoritas negara bekas koloni perancis cakep iya infrastrukturnya vietnam saja meski hanya bagian selatan ho chi min city yang pernah sebentar jadi koloni perancis tetapi infrastruktur di ho chi min city kalau kalian pernah ke sana lumayan cakep secara arsitektural,mayoritas negara bekas koloni perancis cakep iya infrastrukturnya vietnam saja meski hanya bagian selatan ho chi min city yang pernah sebentar jadi koloni perancis tetapi infrastruktur di ho chi min city kalau kalian pernah ke sana lumayan cakep secara arsitektural,mayoritas negara bekas koloni perancis cakep iya infrastrukturnya vietnam saja meski hanya bagian selatan ho chi min city yang pernah sebentar jadi koloni perancis tetapi infrastruktur di ho chi min city kalau kalian pernah ke sana lumayan cakep secara arsitektural,mayoritas negara bekas koloni perancis cakep iya infrastrukturnya vietnam meski bagian selatan ho chi min city pernah sebentar jadi koloni perancis infrastruktur ho chi min city kalau kalian pernah sana lumayan cakep arsitektural,"['mayoritas', 'negara', 'bekas', 'koloni', 'perancis', 'cakep', 'iya', 'infrastrukturnya', 'vietnam', 'meski', 'bagian', 'selatan', 'ho', 'chi', 'min', 'city', 'pernah', 'sebentar', 'jadi', 'koloni', 'perancis', 'infrastruktur', 'ho', 'chi', 'min', 'city', 'kalau', 'kalian', 'pernah', 'sana', 'lumayan', 'cakep', 'arsitektural']",mayoritas negara bekas koloni perancis cakep iya infrastruktur vietnam meski bagi selatan ho chi min city pernah sebentar jadi koloni perancis infrastruktur ho chi min city kalau kalian pernah sana lumayan cakep arsitektural,33,mayoritas negara bekas koloni perancis cakep iya infrastruktur vietnam meski bagi selatan ho chi min city pernah sebentar jadi koloni perancis infrastruktur ho chi min city kalau kalian pernah sana lumayan cakep arsitektural,Positif,Medium,Auto
34,Gak juga... Lihat dong afrika yg laenğŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…,gak juga lihat dong afrika yg laen,tidak juga lihat dong afrika yang laen,tidak juga lihat dong afrika yang laen,tidak juga lihat dong afrika yang laen,juga lihat dong afrika laen,"['juga', 'lihat', 'dong', 'afrika', 'laen']",juga lihat dong afrika laen,5,juga lihat dong afrika laen,Netral,Low,Auto
35,"@SumardiSumardi-ty6mz Kan gw tulis ""mayoritas"" artinya gak semua. Selain Tunisia, ada Algeria, Maroko, Aljazair, Madagaskar dll juga lumayan cakep, ya gak semua sama aja kayak negara2 bekas koloni Inggris juga gak semua cakep/maju...",tymz kan gw tulis mayoritas artinya gak semua selain tunisia ada algeria maroko aljazair madagaskar dl juga lumayan cakep ya gak semua sama aja kayak negara bekas koloni inggris juga gak semua cakepmaju,tymz kan saya tulis mayoritas artinya tidak semua selain tunisia ada algeria maroko aljazair madagaskar dulu juga lumayan cakep iya tidak semua sama saja seperti negara bekas koloni inggris juga tidak semua cakepmaju,tymz kan saya tulis mayoritas artinya tidak semua selain tunisia ada algeria maroko aljazair madagaskar dulu juga lumayan cakep iya tidak semua sama saja seperti negara bekas koloni inggris juga tidak semua cakepmaju,tymz kan saya tulis mayoritas artinya tidak semua selain tunisia ada algeria maroko aljazair madagaskar dulu juga lumayan cakep iya tidak semua sama saja seperti negara bekas koloni inggris juga tidak semua cakepmaju,tymz kan tulis mayoritas artinya semua tunisia algeria maroko aljazair madagaskar dulu lumayan cakep iya semua sama seperti negara bekas koloni inggris tidak semua cakepmaju,"['tymz', 'kan', 'tulis', 'mayoritas', 'artinya', 'semua', 'tunisia', 'algeria', 'maroko', 'aljazair', 'madagaskar', 'dulu', 'lumayan', 'cakep', 'iya', 'semua', 'sama', 'seperti', 'negara', 'bekas', 'koloni', 'inggris', 'tidak', 'semua', 'cakepmaju']",tymz kan tulis mayoritas arti semua tunisia algeria maroko aljazair madagaskar dulu lumayan cakep iya semua sama seperti negara bekas koloni inggris tidak semua cakepmaju,25,tymz kan tulis mayoritas arti semua tunisia algeria maroko aljazair madagaskar dulu lumayan cakep iya semua sama seperti negara bekas koloni inggris tidak semua cakepmaju,Positif,High,Auto
36,â€‹@Rizal_Rahman97kayaknya klo lo bilang mayoritas gak deh... Setau saya hampir smua bagian afrika jjahan prancis u..jd negara yg lo sebutin itu cuma berapa % dr afrika...,â€‹ klo lo bilang mayoritas gak deh setau saya hampir smua bagian afrika jjahan prancis ujd negara yg lo sebutin itu cuma berapa dr afrika,â€‹ kalau kamu bilang mayoritas tidak deh setau saya hampir smua bagian afrika jjahan prancis ujd negara yang kamu sebutin itu cuma berapa dr afrika,â€‹ kalau kamu bilang mayoritas tidak deh setau saya hampir smua bagian afrika jjahan prancis ujd negara yang kamu sebutin itu cuma berapa dr afrika,â€‹ kalau kamu bilang mayoritas tidak deh setau saya hampir smua bagian afrika jjahan prancis ujd negara yang kamu sebutin itu cuma berapa dr afrika,â€‹ kalau kamu bilang mayoritas deh setau hampir smua bagian afrika jjahan prancis ujd negara kamu sebutin cuma berapa dr afrika,"['\u200b', 'kalau', 'kamu', 'bilang', 'mayoritas', 'deh', 'setau', 'hampir', 'smua', 'bagian', 'afrika', 'jjahan', 'prancis', 'ujd', 'negara', 'kamu', 'sebutin', 'cuma', 'berapa', 'dr', 'afrika']", kalau kamu bilang mayoritas deh tau hampir smua bagi afrika jjahan prancis ujd negara kamu sebutin cuma berapa dr afrika,21,kalau kamu bilang mayoritas deh tau hampir smua bagi afrika jjahan prancis ujd negara kamu sebutin cuma berapa dr afrika,Netral,Medium,Auto
37,"@S@SumardiSumardi-ty6mz ğŸ˜… Coba baca pelan2 komen paling awal gw di atas ""Mayoritas negara2 bekas koloni Perancis blablabla...""",tymz coba baca pelan komen paling awal gw di atas mayoritas negara bekas koloni perancis blablabla,tymz coba baca pelan komen paling awal saya di atas mayoritas negara bekas koloni perancis blablabla,tymz coba baca pelan komen paling awal saya di atas mayoritas negara bekas koloni perancis blablabla,tymz coba baca pelan komen paling awal saya di atas mayoritas negara bekas koloni perancis blablabla,tymz coba baca pelan komen paling awal di atas mayoritas negara bekas koloni perancis blablabla,"['tymz', 'coba', 'baca', 'pelan', 'komen', 'paling', 'awal', 'di', 'atas', 'mayoritas', 'negara', 'bekas', 'koloni', 'perancis', 'blablabla']",tymz coba baca pelan komen paling awal di atas mayoritas negara bekas koloni perancis blablabla,15,tymz coba baca pelan komen paling awal di atas mayoritas negara bekas koloni perancis blablabla,Netral,Medium,Auto
38,â€‹@Rizal_Rahman97iya sih mayoritas jajahan prancis cantik2.. Yg di afrika utara cantik krn arsitektur nya..Madagascar krn alamnya... New caledonia juga cantik krn alamnya...,â€‹ sih mayoritas jajahan prancis cantik yg di afrika utara cantik krn arsitektur nyamadagascar krn alamnya new caledonia juga cantik krn alamnya,â€‹ sih mayoritas jajahan prancis cantik yang di afrika utara cantik keren arsitektur nyamadagascar keren alamnya new caledonia juga cantik keren alamnya,â€‹ sih mayoritas jajahan prancis cantik yang di afrika utara cantik keren arsitektur nyamadagascar keren alamnya new caledonia juga cantik keren alamnya,â€‹ sih mayoritas jajahan prancis cantik yang di afrika utara cantik keren arsitektur nyamadagascar keren alamnya new caledonia juga cantik keren alamnya,â€‹ sih mayoritas jajahan prancis cantik di afrika utara cantik keren arsitektur nyamadagascar keren alamnya new caledonia cantik keren alamnya,"['\u200b', 'sih', 'mayoritas', 'jajahan', 'prancis', 'cantik', 'di', 'afrika', 'utara', 'cantik', 'keren', 'arsitektur', 'nyamadagascar', 'keren', 'alamnya', 'new', 'caledonia', 'cantik', 'keren', 'alamnya']", sih mayoritas jajahan prancis cantik di afrika utara cantik keren arsitektur nyamadagascar keren alam new caledonia cantik keren alam,20,sih mayoritas jajahan prancis cantik di afrika utara cantik keren arsitektur nyamadagascar keren alam new caledonia cantik keren alam,Positif,Medium,Auto
39,â€‹@SumardiSumardi-ty6mzpahami baik2 bacaanya mayoritas itu berarti tidak semua...,â€‹tymzpahami baik bacaanya mayoritas itu berarti tidak semua,â€‹tymzpahami baik bacaanya mayoritas itu berarti tidak semua,â€‹tymzpahami baik bacaanya mayoritas itu berarti tidak semua,â€‹tymzpahami baik bacaanya mayoritas itu berarti tidak semua,â€‹tymzpahami baik bacaanya mayoritas berarti semua,"['\u200btymzpahami', 'baik', 'bacaanya', 'mayoritas', 'berarti', 'semua']",tymzpahami baik bacaanya mayoritas arti semua,6,tymzpahami baik bacaanya mayoritas arti semua,Positif,Medium,Auto
40,"11:12 bougenville, bunga bugenvil",bougenville bunga bugenvil,bougenville bunga bugenvil,bougenville bunga bugenvil,bougenville bunga bugenvil,bougenville bunga bugenvil,"['bougenville', 'bunga', 'bugenvil']",bougenville bunga bugenvil,3,bougenville bunga bugenvil,Netral,Low,Auto
41,Enak banget bisa keliling dunia semoga suatu saat aku bisa kaya kakanya,enak banget bisa keliling dunia semoga suatu saat aku bisa kaya kakanya,enak banget boleh keliling dunia semoga suatu saat aku boleh seperti kakanya,enak banget boleh keliling dunia semoga suatu saat aku boleh seperti kakanya,enak banget boleh keliling dunia semoga suatu saat aku boleh seperti kakanya,enak banget keliling dunia semoga suatu aku seperti kakanya,"['enak', 'banget', 'keliling', 'dunia', 'semoga', 'suatu', 'aku', 'seperti', 'kakanya']",enak banget keliling dunia semoga suatu aku seperti kakanya,9,enak banget keliling dunia semoga suatu aku seperti kakanya,Positif,Medium,Auto
42,Pake kamera apa ka cakep banget,pake kamera apa ka cakep banget,pake kamera apa ka cakep banget,pake kamera apa ka cakep banget,pake kamera apa ka cakep banget,pake kamera apa ka cakep banget,"['pake', 'kamera', 'apa', 'ka', 'cakep', 'banget']",pake kamera apa ka cakep banget,6,pake kamera apa ka cakep banget,Positif,Medium,Auto
43,jalannya kok bagus ya batu batu mengkilap gitu....indah negaranya,jalannya kok bagus ya batu batu mengkilap gituindah negaranya,jalannya kok bagus iya batu batu mengkilap gituindah negaranya,jalannya kok bagus iya batu batu mengkilap gituindah negaranya,jalannya kok bagus iya batu batu mengkilap gituindah negaranya,jalannya kok bagus iya batu batu mengkilap gituindah negaranya,"['jalannya', 'kok', 'bagus', 'iya', 'batu', 'batu', 'mengkilap', 'gituindah', 'negaranya']",jalan kok bagus iya batu batu kilap gituindah negara,9,jalan kok bagus iya batu batu kilap gituindah negara,Positif,High,Auto
44,"Maa shaa Allah.... Pemandangan kota Tunisia seger ya, dan nggak terlalu ramai. Smg suatu hari nanti bisa ke Tunisia",ma sha allah pemandangan kota tunisia seger ya dan nggak terlalu ramai smg suatu hari nanti bisa ke tunisia,ma sha allah pemandangan kota tunisia seger iya dan tidak terlalu ramai smg suatu hari nanti boleh ke tunisia,ma sha allah pemandangan kota tunisia seger iya dan tidak terlalu ramai smg suatu hari nanti boleh ke tunisia,ma sha allah pemandangan kota tunisia seger iya dan tidak terlalu ramai smg suatu hari nanti boleh ke tunisia,ma sha allah pemandangan kota tunisia seger iya tidak terlalu ramai smg suatu hari boleh tunisia,"['ma', 'sha', 'allah', 'pemandangan', 'kota', 'tunisia', 'seger', 'iya', 'tidak', 'terlalu', 'ramai', 'smg', 'suatu', 'hari', 'boleh', 'tunisia']",ma sha allah pandang kota tunisia seger iya tidak terlalu ramai smg suatu hari boleh tunisia,16,ma sha allah pandang kota tunisia seger iya tidak terlalu ramai smg suatu hari boleh tunisia,Negatif,Medium,Auto
45,Mirip Santorini Di Yunani Sebelah laut Aegea ğŸ‡¬ğŸ‡·ğŸ‡¬ğŸ‡·,mirip santorini di yunani sebelah laut aegea,mirip santorini di yunani sebelah laut aegea,mirip santorini di yunani sebelah laut aegea,mirip santorini di yunani sebelah laut aegea,mirip santorini yunani sebelah laut aegea,"['mirip', 'santorini', 'yunani', 'sebelah', 'laut', 'aegea']",mirip santorini yunani belah laut aegea,6,mirip santorini yunani belah laut aegea,Negatif,Medium,Auto
47,Tks Mike... Sdh  diajak ke Tunisia. Indah... Putih biru... ğŸ‘ğŸ‘ğŸ‘,tks mike sdh diajak ke tunisia indah putih biru,tks mike sudah diajak ke tunisia indah putih biru,tks mike sudah diajak ke tunisia indah putih biru,tks mike sudah diajak ke tunisia indah putih biru,tks mike diajak tunisia indah putih biru,"['tks', 'mike', 'diajak', 'tunisia', 'indah', 'putih', 'biru']",tks mike ajak tunisia indah putih biru,7,tks mike ajak tunisia indah putih biru,Positif,Medium,Auto
48,Tunisia indah kayaknya seperti Yunani,tunisia indah kayaknya seperti yunani,tunisia indah kayaknya seperti yunani,tunisia indah kayaknya seperti yunani,tunisia indah kayaknya seperti yunani,tunisia indah kayaknya yunani,"['tunisia', 'indah', 'kayaknya', 'yunani']",tunisia indah kayak yunani,4,tunisia indah kayak yunani,Positif,Medium,Auto
49,Hari  ini. telah lahir Raja. Damai. Damai untuk bangsa bangsa  Damai untuk Negri  Damai untuk ke luarga anda  Damai di hati dan pikiran kita semua  Michael. Liu Explore kota yg indah Tunisia,hari ini telah lahir raja damai damai untuk bangsa bangsa damai untuk negri damai untuk ke luarga anda damai di hati dan pikiran kita semua michael liu explore kota yg indah tunisia,hari ini telah lahir raja damai damai untuk bangsa bangsa damai untuk negri damai untuk ke luarga anda damai di hati dan pikiran kita semua michael liu explore kota yang indah tunisia,hari ini telah lahir raja damai damai untuk bangsa bangsa damai untuk negri damai untuk ke luarga anda damai di hati dan pikiran kita semua michael liu explore kota yang indah tunisia,hari ini telah lahir raja damai damai untuk bangsa bangsa damai untuk negri damai untuk ke luarga anda damai di hati dan pikiran kita semua michael liu explore kota yang indah tunisia,hari telah lahir raja damai damai bangsa bangsa damai negri damai ke luarga damai hati pikiran semua michael liu explore kota indah tunisia,"['hari', 'telah', 'lahir', 'raja', 'damai', 'damai', 'bangsa', 'bangsa', 'damai', 'negri', 'damai', 'ke', 'luarga', 'damai', 'hati', 'pikiran', 'semua', 'michael', 'liu', 'explore', 'kota', 'indah', 'tunisia']",hari telah lahir raja damai damai bangsa bangsa damai negri damai ke luarga damai hati pikir semua michael liu explore kota indah tunisia,23,hari telah lahir raja damai damai bangsa bangsa damai negri damai ke luarga damai hati pikir semua michael liu explore kota indah tunisia,Positif,Medium,Auto
50,Mirip yunani,mirip yunani,mirip yunani,mirip yunani,mirip yunani,mirip yunani,"['mirip', 'yunani']",mirip yunani,2,mirip yunani,Negatif,Medium,Auto
51,Selalu di tunggu2 jln breng KA mike,selalu di tunggu jln breng ka mike,selalu di tunggu jalan breng ka mike,selalu di tunggu jalan breng ka mike,selalu di tunggu jalan breng ka mike,selalu tunggu jalan breng ka mike,"['selalu', 'tunggu', 'jalan', 'breng', 'ka', 'mike']",selalu tunggu jalan breng ka mike,6,selalu tunggu jalan breng ka mike,Netral,Low,Auto
52,"Halo Mike, next please bkin video budget sebulan trip ke negara2 yg sdah Mike kunjungi, makasih",halo mike next please bkin video budget sebulan trip ke negara yg sdah mike kunjungi makasih,halo mike next please bkin video budget sebulan trip ke negara yang sudah mike kunjungi terima kasih,halo mike next please bkin video budget sebulan trip ke negara yang sudah mike kunjungi terima kasih,halo mike next please bkin video budget sebulan trip ke negara yang sudah mike kunjungi terima kasih,halo mike next please bkin video budget sebulan trip negara sudah mike kunjungi terima kasih,"['halo', 'mike', 'next', 'please', 'bkin', 'video', 'budget', 'sebulan', 'trip', 'negara', 'sudah', 'mike', 'kunjungi', 'terima', 'kasih']",halo mike next please bkin video budget bulan trip negara sudah mike kunjung terima kasih,15,halo mike next please bkin video budget bulan trip negara sudah mike kunjung terima kasih,Positif,High,Auto
53,EnjoyğŸ˜‚,enjoy,enjoy,enjoy,enjoy,enjoy,['enjoy'],enjoy,1,enjoy,Netral,Low,Auto
54,Wow keren ğŸ‰â¤,wow keren,wow keren,wow keren,wow keren,wow keren,"['wow', 'keren']",wow keren,2,wow keren,Positif,Medium,Auto
55,Akhirnya bs melihat kembali Tunisia. Tunisia negara yg indah dg  dominasi warna putih dan biru. Jika tukar uang harus disimpan bukti penukaran dan bs tukar kembali minimal USD 100  Tunisia memang sering demo krn kondisi ekonomi. Lokasi favorit ke Sidi Bou Said dan banyak kafe di daerah Lac 2 sepanjang Danau Tunis. SelamT bersenang2 Mike,akhirnya bs melihat kembali tunisia tunisia negara yg indah dg dominasi warna putih dan biru jika tukar uang harus disimpan bukti penukaran dan bs tukar kembali minimal usd tunisia memang sering demo krn kondisi ekonomi lokasi favorit ke sidi bou said dan banyak kafe di daerah lac sepanjang danau tunis selamt bersenang mike,akhirnya bisa melihat kembali tunisia tunisia negara yang indah dengan dominasi warna putih dan biru jika tukar uang harus disimpan bukti penukaran dan bisa tukar kembali minimal usd tunisia memang sering demo keren kondisi ekonomi lokasi favorit ke sidi bou said dan banyak kafe di daerah lac sepanjang danau tunis selamt bersenang mike,akhirnya bisa melihat kembali tunisia tunisia negara yang indah dengan dominasi warna putih dan biru jika tukar uang harus disimpan bukti penukaran dan bisa tukar kembali minimal usd tunisia memang sering demo keren kondisi ekonomi lokasi favorit ke sidi bou said dan banyak kafe di daerah lac sepanjang danau tunis selamt bersenang mike,akhirnya bisa melihat kembali tunisia tunisia negara yang indah dengan dominasi warna putih dan biru jika tukar uang harus disimpan bukti penukaran dan bisa tukar kembali minimal usd tunisia memang sering demo keren kondisi ekonomi lokasi favorit ke sidi bou said dan banyak kafe di daerah lac sepanjang danau tunis selamt bersenang mike,akhirnya melihat tunisia tunisia negara indah dominasi warna putih biru tukar uang disimpan bukti penukaran bisa tukar minimal usd tunisia memang sering demo keren kondisi ekonomi lokasi favorit sidi bou said banyak kafe daerah lac sepanjang danau tunis selamt bersenang mike,"['akhirnya', 'melihat', 'tunisia', 'tunisia', 'negara', 'indah', 'dominasi', 'warna', 'putih', 'biru', 'tukar', 'uang', 'disimpan', 'bukti', 'penukaran', 'bisa', 'tukar', 'minimal', 'usd', 'tunisia', 'memang', 'sering', 'demo', 'keren', 'kondisi', 'ekonomi', 'lokasi', 'favorit', 'sidi', 'bou', 'said', 'banyak', 'kafe', 'daerah', 'lac', 'sepanjang', 'danau', 'tunis', 'selamt', 'bersenang', 'mike']",akhir lihat tunisia tunisia negara indah dominasi warna putih biru tukar uang simpan bukti tukar bisa tukar minimal usd tunisia memang sering demo keren kondisi ekonomi lokasi favorit sidi bou said banyak kafe daerah lac panjang danau tun selamt senang mike,41,akhir lihat tunisia tunisia negara indah dominasi warna putih biru tukar uang simpan bukti tukar bisa tukar minimal usd tunisia memang sering demo keren kondisi ekonomi lokasi favorit sidi bou said banyak kafe daerah lac panjang danau tun selamt senang mike,Positif,High,Auto
56,"Saat tinggal di Tunis sering banget main ke Sidi Bou Said dg pemandangan yg sangat infah sekali. Bagiette, croissants dan pozza sangat populer sekali sbg makanan sehari2. Jangan lupa makan couscous dg daging kambing, ayam atau ikan.",saat tinggal di tunis sering banget main ke sidi bou said dg pemandangan yg sangat infah sekali bagiette croissants dan pozza sangat populer sekali sbg makanan sehari jangan lupa makan couscous dg daging kambing ayam atau ikan,saat tinggal di tunis sering banget main ke sidi bou said dengan pemandangan yang sangat infah sekali bagiette croissants dan pozza sangat populer sekali sbg makanan sehari jangan lupa makan couscous dengan daging kambing ayam atau ikan,saat tinggal di tunis sering banget main ke sidi bou said dengan pemandangan yang sangat infah sekali bagiette croissants dan pozza sangat populer sekali sbg makanan sehari jangan lupa makan couscous dengan daging kambing ayam atau ikan,saat tinggal di tunis sering banget main ke sidi bou said dengan pemandangan yang sangat infah sekali bagiette croissants dan pozza sangat populer sekali sbg makanan sehari jangan lupa makan couscous dengan daging kambing ayam atau ikan,tinggal tunis sering banget main sidi bou said pemandangan sangat infah sekali bagiette croissants pozza sangat populer sekali sbg makanan sehari jangan lupa makan couscous daging kambing ayam ikan,"['tinggal', 'tunis', 'sering', 'banget', 'main', 'sidi', 'bou', 'said', 'pemandangan', 'sangat', 'infah', 'sekali', 'bagiette', 'croissants', 'pozza', 'sangat', 'populer', 'sekali', 'sbg', 'makanan', 'sehari', 'jangan', 'lupa', 'makan', 'couscous', 'daging', 'kambing', 'ayam', 'ikan']",tinggal tun sering banget main sidi bou said pandang sangat infah sekali bagiette croissants pozza sangat populer sekali sbg makan hari jangan lupa makan couscous daging kambing ayam ikan,29,tinggal tun sering banget main sidi bou said pandang sangat infah sekali bagiette croissants pozza sangat populer sekali sbg makan hari jangan lupa makan couscous daging kambing ayam ikan,Positif,Medium,Auto
57,Ke 2 bang Mike jangan lupa ngopi bang Mike selamat natal bang Mike kota Tunis indah sekali,ke bang mike jangan lupa ngopi bang mike selamat natal bang mike kota tunis indah sekali,ke bang mike jangan lupa ngopi bang mike selamat natal bang mike kota tunis indah sekali,ke bang mike jangan lupa ngopi bang mike selamat natal bang mike kota tunis indah sekali,ke bang mike jangan lupa ngopi bang mike selamat natal bang mike kota tunis indah sekali,bang mike jangan lupa ngopi bang mike selamat natal bang mike kota tunis indah sekali,"['bang', 'mike', 'jangan', 'lupa', 'ngopi', 'bang', 'mike', 'selamat', 'natal', 'bang', 'mike', 'kota', 'tunis', 'indah', 'sekali']",bang mike jangan lupa ngopi bang mike selamat natal bang mike kota tun indah sekali,15,bang mike jangan lupa ngopi bang mike selamat natal bang mike kota tun indah sekali,Netral,Medium,Auto
58,"Ngopi dulu bang Mike ğŸ˜â˜•âœ¨ 
Selamat natal utk bang Mike ğŸŠğŸ„ğŸ™ğŸ»
Akhirnya Tunisia, tinggal Libya nich biar lengkap traveling north Africa!!",ngopi dulu bang mike selamat natal utk bang mike akhirnya tunisia tinggal libya nich biar lengkap traveling north africa,ngopi dulu bang mike selamat natal untuk bang mike akhirnya tunisia tinggal libya nich biar lengkap traveling north africa,ngopi dulu bang mike selamat natal untuk bang mike akhirnya tunisia tinggal libya nich biar lengkap traveling north africa,ngopi dulu bang mike selamat natal untuk bang mike akhirnya tunisia tinggal libya nich biar lengkap traveling north africa,ngopi dulu bang mike selamat natal bang mike akhirnya tunisia tinggal libya nich biar lengkap traveling north africa,"['ngopi', 'dulu', 'bang', 'mike', 'selamat', 'natal', 'bang', 'mike', 'akhirnya', 'tunisia', 'tinggal', 'libya', 'nich', 'biar', 'lengkap', 'traveling', 'north', 'africa']",ngopi dulu bang mike selamat natal bang mike akhir tunisia tinggal libya nich biar lengkap traveling north africa,18,ngopi dulu bang mike selamat natal bang mike akhir tunisia tinggal libya nich biar lengkap traveling north africa,Netral,Medium,Auto
59,Iya nih sisa satu,iya nih sisa satu,iya nih sisa satu,iya nih sisa satu,iya nih sisa satu,iya nih sisa satu,"['iya', 'nih', 'sisa', 'satu']",iya nih sisa satu,4,iya nih sisa satu,Netral,Low,Auto
